rank_vfm,fifa_version,season_label,dataset_gender,sofifa_id,short_name,long_name,age,primary_position,position_group,overall,potential,performance_score,value_eur,wage_eur,annual_wage_eur,total_cost_eur,cost_million_eur,vfm_index,vfm_formula_1_index,vfm_formula_2_index,vfm_formula_3_raw,regression_residual,club_name,league_name,nationality_name,player_url,cost_performance_segment,rank_young_vfm
564,22,FIFA 22,male,240190,K. Malong,Pierre Kunde Malong,25,CM,MID,73,76,76.095,4000000.0,1000.0,52000.0,4052000.0,4.052,97.06938733017542,91.43199208786632,97.63156524907605,0.4020144959751377,2.308226182588456,Olympiacos CFP,Greek Super League,Cameroon,https://sofifa.com/player/240190/kunde-malong/220002,high_perf_high_cost__premium_star,79
568,22,FIFA 22,male,238507,Fernando Fonseca,Fernando Manuel Ferreira Fonseca,24,RB,DEF,72,76,75.38,3100000.0,7000.0,364000.0,3464000.0,3.464,97.0485659257717,92.22841080630889,97.54307428036022,0.4000672835985643,2.278310938985172,FC Paços de Ferreira,Portuguese Liga ZON SAGRES,Portugal,https://sofifa.com/player/238507/fernando-manuel-ferreira-fonseca/220002,high_perf_high_cost__premium_star,80
577,22,FIFA 22,male,233057,F. Troyansky,Franco Troyansky,24,ST,ATT,71,76,75.2475,2900000.0,9000.0,468000.0,3368000.0,3.368,97.0017177658633,92.31690177502472,97.49622612045182,0.3989149729190381,2.268616298090606,Club Atlas,Mexican Liga MX,Argentina,https://sofifa.com/player/233057/franco-troyansky/220002,high_perf_high_cost__premium_star,81
579,22,FIFA 22,male,231913,F. Aursnes,Fredrik Aursnes,25,CDM,MID,71,75,74.35749999999999,2400000.0,7000.0,364000.0,2764000.0,2.764,96.99130706366144,93.44646296392692,97.38170839623132,0.3985567505051555,2.2422122763094734,Feyenoord,Holland Eredivisie,Norway,https://sofifa.com/player/231913/fredrik-aursnes/220002,high_perf_high_cost__premium_star,82
580,22,FIFA 22,male,236721,L. Fomba,Lamine Fomba,23,CDM,MID,72,78,75.6175,3400000.0,5000.0,260000.0,3660000.0,3.66,96.98610171256053,91.838009473739,97.53266357815836,0.3982482164226998,2.2753153367448533,Nîmes Olympique,French Ligue 2,France,https://sofifa.com/player/236721/lamine-fomba/220002,high_perf_high_cost__premium_star,83
581,22,FIFA 22,male,229648,J. Van Cleemput,Jules Van Cleemput,24,RWB,DEF,71,76,74.745,2600000.0,8000.0,416000.0,3016000.0,3.016,96.9808963614596,92.93113320493468,97.40252980063504,0.3977118246699884,2.24845912762126,Royal Charleroi S.C.,Belgian Jupiler Pro League,Belgium,https://sofifa.com/player/229648/jules-van-cleemput/220002,high_perf_high_cost__premium_star,84
582,22,FIFA 22,male,246183,T. Wiesner,Tomáš Wiesner,23,RB,DEF,72,77,75.195,3300000.0,650.0,33800.0,3333800.0,3.3338,96.97569101035864,92.30128572172192,97.45978866274532,0.3976839007442716,2.2607131054246565,AC Sparta Praha,Czech Republic Gambrinus Liga,Czech Republic,https://sofifa.com/player/246183/tomas-wiesner/220002,high_perf_high_cost__premium_star,85
585,22,FIFA 22,male,232296,F. Moufi,Fahd Moufi,25,RB,DEF,71,76,74.5025,2600000.0,5000.0,260000.0,2860000.0,2.86,96.96007495705584,93.1966061110822,97.35568164072669,0.396996375292037,2.238024432119218,Portimonense SC,Portuguese Liga ZON SAGRES,Morocco,https://sofifa.com/player/232296/fahd-moufi/220002,high_perf_high_cost__premium_star,86
586,22,FIFA 22,female,261848,Inês Pereira,Inês Teixeira Pereira,22,GK,GK,71,79,75.57000000000001,3600000.0,550.0,28600.0,3628600.0,3.6286,96.95486960595493,91.7911613138306,97.48581541824996,0.3966194820042488,2.265464348820202,,,Portugal,https://sofifa.com/player/261848/ines-teixeira-pereira/220002,high_perf_high_cost__premium_star,87
588,22,FIFA 22,male,233800,F. Bjørkan,Fredrik André Bjørkan,22,LB,DEF,72,78,75.66250000000001,3500000.0,4000.0,208000.0,3708000.0,3.708,96.94445890375306,91.58815262089428,97.46499401384622,0.3957365033972031,2.2633824595733927,FK Bodø/Glimt,Norwegian Eliteserien,Norway,https://sofifa.com/player/233800/fredrik-andre-bjorkan/220002,high_perf_high_cost__premium_star,88
589,22,FIFA 22,male,225317,K. Nisbet,Kevin Nisbet,24,ST,ATT,71,75,74.72749999999999,2700000.0,6000.0,312000.0,3012000.0,3.012,96.93925355265212,92.8218208318151,97.35047628962572,0.3955727134678026,2.2367581148588727,Hibernian,Scottish Premiership,Scotland,https://sofifa.com/player/225317/kevin-nisbet/220002,high_perf_high_cost__premium_star,89
591,22,FIFA 22,male,215363,L. Montipò,Lorenzo Montipò,25,GK,GK,74,80,77.49000000000001,5000000.0,11000.0,572000.0,5572000.0,5.572,96.92884285045024,88.7252095153818,97.64197595127791,0.3952782806028434,2.311338780115122,Hellas Verona,Italian Serie A,Italy,https://sofifa.com/player/215363/lorenzo-montipo/220002,high_perf_high_cost__premium_star,90
597,22,FIFA 22,male,244186,Luquinhas,Lucas Lima Linhares,24,CF,ATT,71,76,75.0825,2900000.0,7000.0,364000.0,3264000.0,3.264,96.89761074384468,92.2336161574098,97.37129769402944,0.3944532779172883,2.2406696872021854,Legia Warszawa,Polish T-Mobile Ekstraklasa,Brazil,https://sofifa.com/player/244186/lucas-lima-linhares/220002,high_perf_high_cost__premium_star,91
600,22,FIFA 22,male,244204,N. Katić,Nikola Katić,24,CB,DEF,70,76,73.555,2300000.0,500.0,26000.0,2326000.0,2.326,96.88199469054187,93.97220342512102,97.1943157565978,0.3935010929556092,2.1935832995507383,Hajduk Split,Croatian Prva HNL,Croatia,https://sofifa.com/player/244204/nikola-katic/220002,mid_market,92
606,22,FIFA 22,male,234905,D. Vanzeir,Dante Vanzeir,23,ST,ATT,70,75,74.49000000000001,2400000.0,9000.0,468000.0,2868000.0,2.868,96.85076258393627,92.89469574722816,97.2619853209099,0.392351411179346,2.2133190158974543,Royale Union Saint-Gilloise,Belgian Jupiler Pro League,Belgium,https://sofifa.com/player/234905/dante-vanzeir/220002,high_perf_high_cost__premium_star,93
626,22,FIFA 22,male,227706,J. Hromada,Jakub Hromada,25,CDM,MID,73,78,76.1225,4100000.0,750.0,39000.0,4139000.0,4.139,96.74665556191763,90.38571651657904,97.38691374733226,0.389414362763346,2.242901379073245,SK Slavia Praha,Czech Republic Gambrinus Liga,Slovakia,https://sofifa.com/player/227706/jakub-hromada/220002,high_perf_high_cost__premium_star,94
628,22,FIFA 22,male,243061,Lee Dong Jun,Dong Jun Lee,24,RW,ATT,71,77,75.2575,3000000.0,8000.0,416000.0,3416000.0,3.416,96.7362448597158,91.6558221852064,97.27239602311175,0.3889790960873289,2.216782203907627,Ulsan Hyundai FC,Korean K League 1,Korea Republic,https://sofifa.com/player/243061/dong-jun-lee/220002,high_perf_high_cost__premium_star,95
630,22,FIFA 22,male,220383,Aarón,Aarón Escandell Banacloche,25,GK,GK,70,75,73.61000000000001,1900000.0,9000.0,468000.0,2368000.0,2.368,96.72583415751392,93.67549841236792,97.10582478788194,0.3887893194519327,2.17038755919522,Granada CF,Spain Primera Division,Spain,https://sofifa.com/player/220383/aaron-escandell/220002,mid_market,96
634,22,FIFA 22,male,257288,M. Okoye,Maduka Emilio Okoye,21,GK,GK,71,81,75.74,3600000.0,4000.0,208000.0,3808000.0,3.808,96.7050127531102,90.82296600905732,97.30362812971734,0.3879350604326951,2.224602672699717,Sparta Rotterdam,Holland Eredivisie,Nigeria,https://sofifa.com/player/257288/maduka-okoye/220002,high_perf_high_cost__premium_star,97
635,22,FIFA 22,male,237153,L. Blessing,Latif Blessing,24,CM,MID,71,75,74.6075,2700000.0,5000.0,260000.0,2960000.0,2.96,96.69980740200928,92.35854458383218,97.18390505439592,0.387831876111369,2.1928537700590027,Los Angeles FC,USA Major League Soccer,Ghana,https://sofifa.com/player/237153/latif-blessing/220002,high_perf_high_cost__premium_star,98
638,22,FIFA 22,male,253073,J. Okumu,Joseph Stanley Okumu,24,CB,DEF,71,76,74.9175,2600000.0,11000.0,572000.0,3172000.0,3.172,96.68419134870648,92.0201967622716,97.22554786320336,0.3876799857301368,2.2005996831126566,KAA Gent,Belgian Jupiler Pro League,Kenya,https://sofifa.com/player/253073/joseph-okumu/220002,high_perf_high_cost__premium_star,99
641,22,FIFA 22,male,259360,Ayesa,Gaizka Ayesa Burgui,20,GK,GK,67,81,73.17,2100000.0,1000.0,52000.0,2152000.0,2.152,96.66857529540368,94.02946228723128,97.02253917026702,0.3868945204593642,2.148325241646916,Real Sociedad B,Spanish Segunda División,Spain,https://sofifa.com/player/259360/gaizka-ayesa-burgui/220002,mid_market,100
